publication_year,reference,pubtype,ocean,ocean_region,hemisphere,lat,long,size_km2,notes.geo,year_start,year_end,timespan,years_data,sampling_frequency,note.time,taxa,group,species_name,common_name,lifestage,trophic_level,range_edge,species_type,number_species,note.spp,detailobs,notes_obs,measurement_type,decadal_change_daysperdecade,decadal unit,metric_source,note.bio,notes,consistent_with_climatechange,Exploited,Nonclimatic_factors_analysed,season,SeasonalClimateShift_daysperdecade,depth_category,LifeHistoryDevelopment
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Clione limacina,NA,Larvae,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,3.208247778,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Opposite to expected,Not exploited,No,Autumn,-0.553334614,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Corycaeus spp.,Copepod,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,5.569494333,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Opposite to expected,Not exploited,No,Autumn,-0.553334614,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Thalassiosira spp,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,6.4953625,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Opposite to expected,Not exploited,No,Autumn,-0.553334614,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Limacina retroversa,NA,Larvae,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,8.368229222,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Opposite to expected,Not exploited,No,Winter,-0.879338468,Pelagic,Planktonic
1996,"Greve, W., F. Reiners and J. Nast. 1996. Biocoenotic changes of the zooplankton in the German Bight: the possible effects of eutrophication and climate. ICES Journal of Marine Science. 53: 951-956.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,54.19,7.9,1,NA,1975,1993,19,19,Continuous,2730,Larval bony fish,Taxa,NA,NA,Larvae,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,42,Larval bony fish,Phenology,Month of maximum abundance,Population,-48.4,days,Calculated from manuscript or supplementary material,Yes statistically significant,From Table 1 for duration correlated with year,Consistent,Not exploited,No,Winter,-0.679534353,Pelagic,Meroplanktonic
1996,"Greve, W., F. Reiners and J. Nast. 1996. Biocoenotic changes of the zooplankton in the German Bight: the possible effects of eutrophication and climate. ICES Journal of Marine Science. 53: 951-956.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,54.19,7.9,1,NA,1975,1993,19,19,Continuous,2730,Larval bony fish,Taxa,NA,NA,Larvae,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,42,Larval bony fish,Phenology,Start of season,Population,-25.3,days,Calculated from manuscript or supplementary material,Yes statistically significant,From Table 1 for month of maximum abundance correlated with year,Consistent,Not exploited,No,Winter,-0.679534353,Pelagic,Meroplanktonic
2006,"Moller, A.P., E. Flensted-Jensen and W. Mardel. 2006. Rapidly advancing laying date in a seabird and the changing advantage of early reproduction. Journal of Animal Ecology 75:657-665.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,56.1,9.29,10000,Denmark,1929,1998,70,70,Continuous,39029,Seabirds,Taxa,Sterna paradisaea,Arctic tern,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,1,NA,Phenology,mean ringing date: proxy for timing of breeding,Population,-2.628571429,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Summer,0.062207749,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,56.18,-2.57,10,"Isle of May, Firth of Forth, Scotland",1971,2006,36,36,Continuous,NA,Seabirds,Taxa,Phalacrocorax aristotelis,European shag,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,-8.4,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Spring,-0.416679542,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1972,2006,35,35,Continuous,NA,Seabirds,Taxa,Uria aalge,common guillemot,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,-2.7,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Spring,-0.243359779,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,56.18,-2.57,10,"Isle of May, Firth of Forth, Scotland",1983,2006,24,24,Continuous,NA,Seabirds,Taxa,Fulmarus glacialis,Northern fulmar,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,-0.79,days,Given in manuscript or supplementary material,Not statistically significant,NA,No change,Not exploited,No,Spring,0.079081962,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,56.18,-2.57,10,"Isle of May, Firth of Forth, Scotland",1979,2006,28,19,Continuous,NA,Seabirds,Taxa,Somateria mollissima,Common eider,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date; proxied by first brood of ducklings seen,Single,-1.2,days,Given in manuscript or supplementary material,Not statistically significant,NA,No change,Not exploited,No,Spring,0.575521951,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1971,2006,36,36,Continuous,NA,Seabirds,Taxa,Phalacrocorax aristotelis,European shag,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,0.99,days,Given in manuscript or supplementary material,Not statistically significant,NA,No change,Not exploited,No,Spring,-0.354935554,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1972,2006,35,33,Continuous,NA,Seabirds,Taxa,Somateria mollissima,Common eider,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date; proxied by first brood of ducklings seen,Single,0.5,days,Given in manuscript or supplementary material,Not statistically significant,NA,No change,Not exploited,No,Spring,-0.243359779,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1979,2006,28,21,Continuous,NA,Seabirds,Taxa,Fratercula arctica,Atlantic puffin,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date; proxied by when an adult was first seen taking food to a chick,Single,-1.5,days,Given in manuscript or supplementary material,Not statistically significant,NA,No change,Not exploited,No,Spring,0.650708345,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1976,2006,31,27,Continuous,NA,Seabirds,Taxa,Sterna sandvicensis,Sandwich tern,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,-0.18,days,Given in manuscript or supplementary material,Not statistically significant,NA,No change,Not exploited,No,Spring,-0.208132173,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1976,2006,31,24,Continuous,NA,Seabirds,Taxa,Sterna hirundo,Common tern,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,-0.45,days,Given in manuscript or supplementary material,Not statistically significant,NA,No change,Not exploited,No,Spring,-0.208132173,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1972,2006,35,35,Continuous,NA,Seabirds,Taxa,Sterna paradisaea,Arctic tern,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,-1.9,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Spring,-0.243359779,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,56.18,-2.57,10,"Isle of May, Firth of Forth, Scotland",1981,2006,26,26,Continuous,NA,Seabirds,Taxa,Rissa tridactyla,Black-legged kittiwake,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,6.9,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,No,Spring,-0.163200914,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,56.18,-2.57,10,"Isle of May, Firth of Forth, Scotland",1974,2006,33,33,Continuous,NA,Seabirds,Taxa,Fratercula arctica,Atlantic puffin,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date; proxied by when an adult was first seen taking food to a chick,Single,2.5,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,No,Spring,-0.515235677,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1971,2006,36,36,Continuous,NA,Seabirds,Taxa,Fulmarus glacialis,Northern fulmar,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,1.1,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,No,Spring,-0.354935554,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1971,2006,36,36,Continuous,NA,Seabirds,Taxa,Rissa tridactyla,Black-legged kittiwake,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,8,NA,Phenology,first egg date,Single,6.7,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,No,Spring,-0.354935554,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,56.18,-2.57,10,"Isle of May, Firth of Forth, Scotland",1972,2006,35,27,Irregular,NA,Seabirds,Taxa,Alca torda,Razorbill,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,10,NA,Phenology,first egg date,Single,0.062,days,Given in manuscript or supplementary material,Not statistically significant,NA,No change,Not exploited,No,Spring,-0.329238018,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55.62,-1.63,10,"Farne Islands, England",1972,2006,35,28,Irregular,NA,Seabirds,Taxa,Alca torda,Razorbill,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,10,NA,Phenology,first egg date,Single,-1.6,days,Given in manuscript or supplementary material,Not statistically significant,NA,No change,Not exploited,No,Spring,-0.243359779,Coastal,Nektonic
2009,"Wanless, S., M. Frederiksen, J. Walton and M.P. Harris.  2009.  Long-term changes in breeding phenology at two seabird colonies in the western North Sea.  Ibis 151:274-285.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,56.18,-2.57,10,"Isle of May, Firth of Forth, Scotland",1982,2006,25,25,Irregular,NA,Seabirds,Taxa,Uria aalge,Common Murre,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,10,NA,Phenology,first egg date,Single,2.8,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,No,Spring,-0.115455062,Coastal,Nektonic
2008,"Wanless, S., M.P. Harris, S. Lewis, M. Frederiksen and S. Murray. 2008. Later breeding in northern gannets in the eastern Atlantic. Marine Ecology Progress Series 370:263-269.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,55,-5,1000000,"Study sites in Ireland, United Kingdom and France",1980,2007,28,28,Irregular,86,Seabirds,Taxa,Morus bassanus,Northern gannet,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,1,NA,Phenology,timing of breeding; median hatch date,Population,2.1,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,No,Summer,-0.005350537,Coastal,Nektonic
2010,"Schluter, M.H., A. Merico, M. Reginatto, M. Boersma, K.H. Wiltshire and W. Greve. 2010. Phenological shifts in three interacting zooplankton groups in relation to climate change. Global Change Biology doi: 10.1111/j.1365-2486.2010.02246.x",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,54.18,7.9,1,8 m depth so taken to be Coastal rather than Pelagic,1975,2004,30,30,Continuous,4680,Zooplankton,Taxa,Beroe gracilis,Comb jellies,Juvenile,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,3,Beroe predates upon Pleurobrachia,Phenology,start of bloom,Population,-9.33,days,Calculated from manuscript or supplementary material,Yes statistically significant,=dec.val*3 decades/1.7oC which is warming in area,Consistent,Not exploited,No,Spring,-0.179647427,Pelagic,Planktonic
2010,"Schluter, M.H., A. Merico, M. Reginatto, M. Boersma, K.H. Wiltshire and W. Greve. 2010. Phenological shifts in three interacting zooplankton groups in relation to climate change. Global Change Biology doi: 10.1111/j.1365-2486.2010.02246.x",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,54.18,7.9,1,8 m depth so taken to be Coastal rather than Pelagic,1975,2004,30,30,Continuous,4680,Zooplankton,Taxa,Pleurobrachia pileus,Comb jellies,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,3,NA,Phenology,start of bloom,Population,-23.33,days,Calculated from manuscript or supplementary material,Yes statistically significant,=dec.val*3 decades/1.7oC which is warming in area,Consistent,Not exploited,No,Spring,-0.179647427,Pelagic,Planktonic
2010,"Schluter, M.H., A. Merico, M. Reginatto, M. Boersma, K.H. Wiltshire and W. Greve. 2010. Phenological shifts in three interacting zooplankton groups in relation to climate change. Global Change Biology doi: 10.1111/j.1365-2486.2010.02246.x",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,54.18,7.9,1,8 m depth so taken to be Coastal rather than Pelagic,1975,2004,30,30,Continuous,4680,Zooplankton,Assemblage,Copepod assemblage,copepods,Multiple life stages - juvenile and older (not egg or larvae),Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,3,NA,Phenology,start of bloom,Population,0,days,Calculated from manuscript or supplementary material,Not statistically significant,=dec.val*3 decades/1.7oC which is warming in area,No change,Not exploited,No,Spring,-0.179647427,Pelagic,Planktonic
1998,"Mackas, D.L., R. Goldblatt and A.G. Lewis. 1998. Interdecadal variation in developmental timing of Neocalanus plumchrus populations at Ocean Station P in the subarctic North Pacific. Canadian Journal of Fisheries and Aquatic Sciences 55: 1878-1893",Peer-reviewed journal,North-west Pacific,Pacific Ocean,Northern,50,-145,1,NA,1968,1996,29,17,Continuous,2000,Zooplankton,Taxa,Neocalanus plumchrus,copepod,Juvenile,Primary consumer: Herbivore grazer and browser,Centre,Cold water,1,NA,Phenology,timing of peak biomass,Population,-19.26,days,Calculated from manuscript or supplementary material,Not tested,using data from figure 6 to calculate change (dec.val) and dividing dec.val by 0.2oC per decade warming that is given for the region in the Discussion,Consistent,Not exploited,No,Summer,-0.344131587,Pelagic,Planktonic
2001,"Bertram, D.F., D.L. Mackas, and S.M. McKinnell. 2001. The seasonal cycle revisited: interannual variation and ecosystem consequences.  Progress in Oceanography 49: 283-307.",Peer-reviewed journal,North-east Pacific,Pacific Ocean,Northern,50.87,-129.08,10,"Triangle Island, British Columbia, Canada",1975,1999,25,12,Irregular,400,Seabirds,Taxa,Cerorhinca monocerata,Rhinoceros auklet,Egg/Seed/Spore/Propagule/Cyst,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,5,NA,Phenology,hatch date,Population,-9.5,days,Calculated from manuscript or supplementary material,Yes statistically significant,"decadal metric of change not given, but calculated using regression on digitised data",Consistent,Not exploited,Yes,Summer,-0.387419912,Coastal,Nektonic
2001,"Bertram, D.F., D.L. Mackas, and S.M. McKinnell. 2001. The seasonal cycle revisited: interannual variation and ecosystem consequences.  Progress in Oceanography 49: 283-307.",Peer-reviewed journal,North-east Pacific,Pacific Ocean,Northern,50.87,-129.08,10,"Triangle Island, British Columbia, Canada",1975,1999,25,10,Irregular,400,Seabirds,Taxa,Fratercula cirrhata,Tufted puffin,Egg/Seed/Spore/Propagule/Cyst,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,5,NA,Phenology,hatch date,Population,-7.8,days,Calculated from manuscript or supplementary material,Yes statistically significant,"decadal metric of change not given, but calculated using regression on digitised data",Consistent,Not exploited,Yes,Summer,-0.387419912,Coastal,Nektonic
2001,"Bertram, D.F., D.L. Mackas, and S.M. McKinnell. 2001. The seasonal cycle revisited: interannual variation and ecosystem consequences.  Progress in Oceanography 49: 283-307.",Peer-reviewed journal,North-east Pacific,Pacific Ocean,Northern,50.87,-129.08,10,"Triangle Island, British Columbia, Canada",1975,1999,25,7,Irregular,400,Seabirds,Taxa,Uria aalge,Common Murre,Egg/Seed/Spore/Propagule/Cyst,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,5,NA,Phenology,hatch date,Single,-24,days,Calculated from manuscript or supplementary material,Yes statistically significant,"decadal metric of change not given, but calculated using regression on digitised data",Consistent,Not exploited,Yes,Summer,-0.387419912,Coastal,Nektonic
2001,"Bertram, D.F., D.L. Mackas, and S.M. McKinnell. 2001. The seasonal cycle revisited: interannual variation and ecosystem consequences.  Progress in Oceanography 49: 283-307.",Peer-reviewed journal,North-east Pacific,Pacific Ocean,Northern,50,-145,1,OSP,1975,1996,22,12,Irregular,NA,Zooplankton,Taxa,Neocalanus plumchrus,Copepod,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cold water,5,NA,Phenology,Date of maximum biomass,Population,-18.7,days,Calculated from manuscript or supplementary material,Not tested,"decadal metric of change not given, but calculated using regression on digitised data",Consistent,Not exploited,No,Spring,1.496757171,Pelagic,Planktonic
2001,"Bertram, D.F., D.L. Mackas, and S.M. McKinnell. 2001. The seasonal cycle revisited: interannual variation and ecosystem consequences.  Progress in Oceanography 49: 283-307.",Peer-reviewed journal,North-east Pacific,Pacific Ocean,Northern,48.65,-126.67,1,P4,1975,1998,24,8,Irregular,NA,Zooplankton,Taxa,Neocalanus plumchrus,Copepod,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cold water,5,NA,Phenology,Date of maximum biomass,Population,-12.8,days,Calculated from manuscript or supplementary material,Not tested,"decadal metric of change not given, but calculated using regression on digitised data",Consistent,Not exploited,No,Spring,1.16883109,Pelagic,Planktonic
2001,"Bertram, D.F., D.L. Mackas, and S.M. McKinnell. 2001. The seasonal cycle revisited: interannual variation and ecosystem consequences.  Progress in Oceanography 49: 283-307.",Peer-reviewed journal,North-east Pacific,Pacific Ocean,Northern,50.87,-129.08,10,"Triangle Island, British Columbia, Canada",1975,1999,25,9,Irregular,400,Seabirds,Taxa,Ptychoramphus aleuticus,Cassin's auklet,Egg/Seed/Spore/Propagule/Cyst,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,5,NA,Phenology,hatch date,Population,-4.4,days,Calculated from manuscript or supplementary material,Not statistically significant,"decadal metric of change not given, but calculated using regression on digitised data",No change,Not exploited,Yes,Spring,0.208995662,Coastal,Nektonic
2004,"Greve, W, Reiners, F, Nusta, Hoffmann S. 2004. Helgoland Roads meso- and macrozooplankton time-series 1974 to 2004: lessons from 30 years of single spot, high frequency sampling at the only off-shore island of the North Sea. Helgoland Marine Research 58: ",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,54.19,7.9,1,Point sampling,1974,2004,31,31,Continuous,4650,Zooplankton,Taxa,Evadne spp.,Cladoceran,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,1,NA,Phenology,Numbers per m3 converted to middle of season,Population,-14.7,days,Calculated from manuscript or supplementary material,Not tested,NA,Consistent,Not exploited,No,Summer,-0.147238332,Pelagic,Nektonic
2009,"Moe, B., L. Stempniewicz, D. Jakubas, F. Angelier, O. Chastel, F. Dinessen, G.W. Gabrielsen, F. Hanssen, N.J. Karnovsky, B. Ronning, J. Welcker, K. Wojczulanis-Jakubas and C. Bech. Climate change and phenological responses of two seabird species breeding ",Peer-reviewed journal,Greenland Sea,Polar seas,Northern,77,15.55,100,"Hornsund, Svalbard, Norway",1963,2008,46,18,Irregular,2520,Seabirds,Taxa,Alle alle,Little auk,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,2,NA,Phenology,median hatch date,Population,-0.97826087,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Summer,-0.127130102,Coastal,Nektonic
2009,"Moe, B., L. Stempniewicz, D. Jakubas, F. Angelier, O. Chastel, F. Dinessen, G.W. Gabrielsen, F. Hanssen, N.J. Karnovsky, B. Ronning, J. Welcker, K. Wojczulanis-Jakubas and C. Bech. Climate change and phenological responses of two seabird species breeding ",Peer-reviewed journal,Greenland Sea,Polar seas,Northern,78.9,12.22,100,"Ny-Alesund, Svalbard, Norway",1970,2008,39,18,Irregular,3240,Seabirds,Taxa,Rissa tridactyla,Black-legged kittiwake,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,2,NA,Phenology,median hatch date,Population,1.3,days,Calculated from manuscript or supplementary material,Not statistically significant,"Large change in phenology per degree C, but also large variance, so not significant. Regression fit of hatch date over time is very poor, but gives a rate of change of +1.3 days per decade. ",Opposite to expected,Not exploited,No,Summer,-0.002343734,Coastal,Nektonic
2003,"Gjerdum, C., A.M.J. Valle_e, C.C. St. Clair, D.F. Bertram, J.L. Ryder and G.S. Blackburn. 2003. Tufted puffin reproduction reveals ocean climate variability. Proceedings of the National Academy of Science 100: 9377-9382",Peer-reviewed journal,North-west Pacific,Pacific Ocean,Northern,50.87,-129.08,10,"Triangle Island, British Columbia, Canada",1975,2002,28,16,Irregular,800,Seabirds,Taxa,Fratercula cirrhata,tufted puffin,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,1,NA,Phenology,mean annual hatch date,Population,-5.71,days,Calculated from manuscript or supplementary material,Yes statistically significant,calculated as 16 days/28 years*10 yrs,Consistent,Not exploited,No,Summer,-0.267456356,Coastal,Nektonic
2004,"Frederiksen, M., M.P. Harris , F. Daunt, P. Rothery, and S. Wanless. 2004. Scale-dependent climate signals drive breeding phenology of three seabird species. Global Change Biology 10: 1214-1221.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,56.18,-2.55,10,"Isle of May, Scotland",1969,2002,34,34,Continuous,NA,Seabirds,Taxa,Phalacrocorax aristotelis,European Shag,Juvenile,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,3,NA,Phenology,breeding phenology,Population,-2.3,days,Given in manuscript or supplementary material,Not statistically significant,NA,Consistent,Not exploited,No,Spring,0.332384682,Coastal,Nektonic
